sampleID	RpsJ	PsbJ	ComplexI_49KD	RpsG	DUF3172	AtpD	AtpA	PetB	LepA	CbbP
S0494	34.59119496855345	61.53846153846152	49.789029535865005	49.14529914529914	46.69887278582931	44.58161865569272	52.805280528052705	47.400611620795146	38.759689922480604	34.55964325529542
S0495	352.20125786163453	400.00000000000045	596.624472573833	540.5982905982913	674.71819645731955	471.19341563785696	633.6633663366482	691.1314984709481	601.328903654475	604.2363433667746
S0496	462.2641509433946	502.5641025641032	712.236286919822	534.1880341880347	829.3075684379932	570.6447187928663	741.2541254125601	805.8103975535194	650.6090808416278	734.6711259754638
S0497	242.13836477987434	338.4615384615388	448.9451476793216	380.3418803418803	510.46698872785385	355.9670781893	442.2442244224491	503.05810397553165	422.48062015503257	454.84949832776
S0498	232.7044025157234	287.1794871794874	367.0886075949353	205.1282051282051	397.7455716586127	266.1179698216753	322.7722772277248	438.83792048929416	342.1926910298959	358.9743589743596
S0499	2295.5974842767405	2507.6923076922903	3190.717299577994	2893.162393162366	4117.552334943498	2840.192043895881	3644.224422441929	3903.6697247707093	3422.4806201548945	3430.3232998883386
S0500	37.73584905660377	56.410256410256395	47.257383966244745	38.46153846153846	49.9194847020934	43.8957475994513	47.52475247524744	47.400611620795146	49.83388704318939	56.856187290969935
S0501	1465.4088050314524	1194.8717948717895	1444.7257383965987	1487.1794871795128	1481.4814814814922	1097.3936899863131	1508.9108910890752	1918.9602446483439	1146.733111849394	1250.8361204013256
S0502	735.8490566037697	702.5641025641015	794.0928270042083	784.1880341880413	884.0579710144817	646.7764060356692	862.7062706270865	1021.4067278287532	696.5669988925681	743.5897435897332
S0503	9.433962264150942	20.51282051282051	19.40928270042194	21.367521367521366	22.544283413848632	16.460905349794235	26.402640264026374	24.464831804281346	26.578073089700972	27.87068004459308
S0504	4996.85534591197	4502.564102564067	5329.113924050519	5200.854700854489	5375.201288244514	4185.87105624158	5745.214521451553	7489.2966360847595	4370.985603543383	4209.587513935044
S0505	1053.4591194968498	1251.2820512820454	1322.3628691982892	1297.0085470085676	1470.2093397745673	1123.4567901234889	1471.9471947194431	2033.639143730915	1313.9534883721267	1410.2564102564065
S0506	166.66666666666674	153.84615384615384	153.58649789029533	155.98290598290598	214.170692431562	156.3786008230455	186.79867986798635	195.71865443425114	216.5005537098544	186.1761426978821
S0507	3654.088050314416	3723.0769230768947	3950.2109704640525	3835.4700854699827	3958.132045088439	3190.6721536352707	4169.636963695985	5264.52599388354	3033.776301218106	3171.683389074554
S0508	616.3522012578587	753.8461538461523	740.9282700421842	732.9059829059887	903.3816425120659	674.2112482853279	834.9834983498577	1050.458715596338	916.3898117386319	829.4314381270757
S0509	119.496855345912	158.97435897435898	157.8059071729958	143.16239316239316	210.9500805152979	168.03840877914996	196.69966996699623	185.01529051987802	205.9800664451813	156.07580824972152
S0510	1974.8427672956175	1825.6410256410145	2038.8185654008046	1709.4017094017408	2049.919484702134	1593.2784636488939	2143.234323432226	2611.6207951070737	1720.3765227022122	1607.580824972136
S0511	591.1949685534564	779.4871794871777	739.240506329104	670.9401709401751	921.0950080515181	672.1536351166035	849.5049504950728	995.4128440367037	851.6057585824872	780.3790412485943
S0512	94.33962264150946	174.3589743589744	195.78059071730002	153.84615384615384	239.93558776167473	165.2949245541842	191.41914191419096	246.17737003058153	201.5503875968979	179.48717948717976
S0513	1411.9496855345956	1251.2820512820454	1419.4092827003967	1301.282051282072	1504.025764895342	1104.9382716049693	1590.0990099009457	1892.9663608562944	1316.7220376523044	1086.9565217391096
S0514	1226.4150943396219	1558.9743589743503	1548.5232067510267	1482.9059829060084	1948.47020933981	1412.894375857388	1790.0990099009193	2041.2844036697531	1452.3809523810114	1659.9777034559738
S0515	0	10.256410256410255	11.814345991561185	25.64102564102564	24.154589371980677	13.031550068587102	15.841584158415841	13.761467889908257	18.272425249169434	12.263099219620962
S0516	2632.075471698109	1748.7179487179383	2459.0717299577573	2061.965811965851	2320.4508856682937	1898.4910836763468	2503.630363036139	3029.051987767633	1975.6367663345957	1884.0579710145141
S0517	427.67295597484144	702.5641025641015	776.3713080168669	534.1880341880347	954.9114331722905	722.908093278472	840.2640264026631	957.1865443425133	864.341085271302	832.7759197324267
S0518	15.723270440251572	20.51282051282051	25.31645569620252	19.23076923076923	30.595813204508858	24.69135802469137	23.76237623762374	38.22629969418962	36.544850498338846	31.215161649944246
S0519	1858.4905660377526	1482.051282051274	1711.3924050632593	1337.6068376068592	1681.1594202898764	1246.2277091907115	1641.5841584157904	2232.415902140705	1339.4241417497615	1331.103678929758
S0520	229.55974842767307	328.2051282051285	234.59915611814432	170.94017094017093	334.943639291464	183.81344307270305	257.42574257425684	295.1070336391436	292.91251384274307	280.9364548494988
S0521	34.59119496855345	61.53846153846152	46.41350210970466	55.55555555555555	59.58132045088567	48.69684499314127	81.84818481848167	65.7492354740062	97.45293466223718	66.88963210702346
S0522	3157.2327044024883	2717.9487179486987	3034.5991561180817	2869.658119658094	3336.5539452495245	2431.4128943759665	3221.7821782175624	4010.7033639144424	2479.512735326759	2463.7681159419963
S0523	499.99999999999807	728.2051282051269	729.1139240506233	662.3931623931663	843.8003220611813	755.8299039780625	876.5676567657009	813.4556574923574	904.761904761888	882.9431438126918
S0524	37.73584905660377	41.02564102564102	43.8818565400844	70.51282051282051	48.309178743961354	53.49794238683124	46.20462046204612	59.63302752293585	57.032115171650105	78.03790412486072
S0525	2295.5974842767405	2153.8461538461397	2676.793248945094	2365.3846153846303	2789.0499194846775	2214.677640603663	2923.4323432341034	3348.6238532110647	2147.8405315616073	2078.037904124886
S0526	647.7987421383616	707.6923076923066	851.4767932489327	790.5982905982979	1152.9790660225376	862.8257887517314	1168.3168316831795	1111.6207951070426	1027.1317829457175	950.9476031214956
S0527	3.144654088050314	5.128205128205128	6.751054852320676	4.273504273504273	4.830917874396135	6.858710562414265	3.9603960396039604	1.529051987767584	6.644518272425251	5.574136008918618
S0528	1877.358490566055	1487.179487179479	1657.383966244695	1726.4957264957584	1750.402576489558	1640.603566529555	2013.201320131913	2581.0397553517214	1415.8361018826658	1462.6532887402443
S0529	424.52830188679116	461.5384615384621	497.04641350210534	429.48717948717945	648.9533011272073	515.0891632373075	610.5610561056242	680.4281345565748	629.5681063122817	646.599777034554
S0530	283.0188679245282	225.64102564102578	248.9451476793259	245.7264957264957	291.4653784218996	228.39506172839657	305.610561056107	360.85626911314864	252.49169435215703	228.5395763656637
S0531	1459.1194968553516	1317.9487179487114	1464.1350210970202	1320.5128205128417	1465.378421900171	1185.8710562414624	1638.2838283827875	2056.574923547429	1370.9856035437872	1163.8795986621906
S0532	1006.2893081760944	1241.0256410256352	1270.8860759493452	1147.435897435914	1563.6070853462309	1125.5144032922133	1463.3663366336357	1603.975535168215	1410.852713178346	1352.2853957636498
S0533	125.78616352201263	107.69230769230764	117.29957805907148	100.42735042735042	170.69243156199678	107.68175582990378	138.6138613861383	148.31804281345592	178.29457364341005	128.20512820512837
S0534	1251.572327044025	1205.1282051281996	1351.8987341771915	1230.7692307692496	1460.5475040257745	1107.6817558299351	1545.2145214521067	1779.8165137614908	1164.4518272425312	1129.3199554068933
S0535	2084.905660377379	1917.948717948706	2186.497890295316	1978.6324786325172	2257.6489533011495	1791.4951989026779	2484.4884488447224	3033.6391437309358	1877.6301218163053	1828.316610925325
S0536	254.7169811320756	389.7435897435902	377.2151898734161	382.47863247863245	494.3639291465337	391.63237311385336	454.78547854786217	525.9938837920456	472.86821705425626	469.3422519509484
S0537	1556.603773584914	1369.2307692307622	1424.472573839637	1115.3846153846312	1404.18679549115	1037.7229080933055	1370.9570957095555	1969.4189602446752	1203.7652270210544	1175.0278706800284
S0538	572.3270440251547	938.4615384615353	967.9324894514617	724.3589743589799	1267.3107890499189	828.532235939658	1159.0759075907715	1169.724770642212	1260.797342192715	1264.214046822731
S0539	204.40251572327054	287.1794871794874	195.78059071730002	207.26495726495725	220.61191626409018	202.3319615912219	281.18811881188157	253.82262996941947	258.5825027685467	231.88405797101487
S0540	2088.050314465429	1671.794871794862	2072.5738396624074	1696.5811965812277	2098.228663446091	1589.163237311445	2168.316831683048	2876.1467889908713	1840.5315614619242	1768.1159420290007
S0541	1179.2452830188658	1302.5641025640962	1656.540084388155	1418.8034188034426	1674.7181964573479	1325.1028806584802	1559.7359735973193	1996.9418960244923	1657.8073089701963	1763.6566332218656
S0542	106.91823899371073	133.3333333333333	136.70886075949346	134.6153846153846	127.21417069243157	116.5980795610423	138.6138613861383	133.02752293578004	162.23698781838272	153.84615384615407
S0543	311.3207547169808	369.2307692307696	307.17299578059067	294.87179487179486	380.0322061191605	302.46913580247	371.61716171617564	382.26299694189447	354.9280177187107	323.29988851728035
S0544	2339.622641509443	1979.487179487167	2614.3459915611293	2487.1794871794923	2636.0708534621467	2322.3593964335732	2950.495049504727	3353.2110091743675	2175.526024363373	2511.705685618689
S0545	106.91823899371073	133.3333333333333	145.9915611814345	138.88888888888889	173.91304347826087	131.00137174211227	147.19471947194685	171.25382262996973	169.98892580287867	134.89409141583073
S0546	2305.031446540891	2543.589743589726	2778.902953586442	2822.649572649551	2779.388083735886	2288.7517146777413	2869.3069306928564	3530.581039755411	2145.071982281431	2340.0222965440216
