genome	HepDI	HepDII	MpnS	PepM	PpdA	PpdH	isocitrase_lyase_like
RS697	0	0	1	1	1	1	1
SAT1367	0	0	0	1	1	0	1
SAT15	0	0	0	1	0	1	1
SAT2734	0	0	0	1	1	0	1
SP115	0	0	0	0	1	0	1
SP196	0	0	0	2	0	2	1
SP196	0	0	0	2	0	2	1
SP267	0	0	0	1	0	1	1
SP289	0	0	0	1	1	0	1
specI-1037911	0	0	0	1	0	0	1
specI-1041147	0	0	0	1	0	0	1
specI-1070319	0	0	0	1	0	0	1
specI-1121433	0	0	0	1	1	0	1
specI-1122614	0	0	0	1	1	0	1
specI-1123252	0	0	0	1	1	0	1
specI-1196322	0	0	0	1	1	0	1
specI-1206735	0	0	0	1	0	0	1
specI-1212819	0	0	0	2	2	0	1
specI-1212819	0	0	0	2	2	0	1
specI-1218074	0	0	0	1	1	0	1
specI-1218075	0	0	0	1	1	0	1
specI-1266370	0	0	0	1	0	0	1
specI-1287182	0	0	0	2	0	0	1
specI-1287182	0	0	0	2	0	0	1
specI-1306406	0	0	0	1	0	0	1
specI-1336208	0	0	0	1	1	0	1
specI-1348663	0	0	0	1	1	0	1
specI-1380770	0	0	0	0	1	0	1
specI-1415541	0	0	0	1	1	0	1
specI-1415550	0	0	0	1	0	0	1
specI-1415552	0	0	0	1	1	0	1
specI-1415554	0	0	0	1	1	0	1
specI-1415555	0	0	0	1	1	0	1
specI-1415559	0	0	0	0	1	0	1
specI-1415560	0	0	0	1	1	0	1
specI-1415561	0	0	0	1	1	0	1
specI-1415755	0	0	0	1	0	0	1
specI-1463827	0	0	0	1	0	0	1
specI-1463840	0	0	0	1	1	0	1
specI-1463841	0	0	0	1	1	0	1
specI-1463843	0	0	0	1	1	0	1
specI-1463877	0	0	0	1	0	0	1
specI-1463878	0	0	0	1	0	0	1
specI-1463879	0	0	0	1	0	0	1
specI-1463881	0	0	0	1	1	1	1
specI-1463885	0	0	0	1	1	0	1
specI-1463886	0	0	0	1	1	1	1
specI-1463894	0	0	0	1	0	0	1
specI-1463895	0	0	0	1	0	0	1
specI-1463896	0	0	0	1	1	0	1
specI-1463897	0	0	0	1	1	0	1
specI-1463905	0	0	0	1	0	0	1
specI-1463907	0	0	0	1	0	0	1
specI-1463912	0	0	0	1	1	0	1
specI-1463913	0	0	0	1	0	0	1
specI-1463915	0	0	0	1	0	0	1
specI-1463925	0	0	0	1	0	0	1
specI-1463927	0	0	0	1	0	0	1
specI-1519490	0	0	0	1	0	1	1
specI-1519494	0	0	0	1	0	0	1
specI-159450	0	0	0	1	1	0	1
specI-1609134	0	0	0	1	1	0	1
specI-1609137	0	0	0	1	1	0	1
specI-1892	0	0	0	1	0	1	1
specI-1896	0	0	0	1	0	0	1
specI-2065	1	0	0	1	1	1	1
specI-211165	0	0	0	1	1	0	1
specI-219305	0	1	0	1	1	0	1
specI-247634	0	0	0	1	1	1	1
specI-266264	0	0	0	1	1	0	1
specI-269482	0	0	0	1	1	0	1
specI-311403	0	0	0	1	1	0	1
specI-314270	0	0	0	1	1	1	1
specI-316056	0	0	0	1	0	0	1
specI-32057	0	0	0	1	1	0	1
specI-326424	1	0	0	1	1	1	1
specI-33876	0	0	0	1	1	0	1
specI-349520	0	0	0	2	2	0	1
specI-358823	0	0	0	1	0	0	1
specI-363754	0	0	0	2	1	0	1
specI-363754	0	0	0	2	1	0	1
specI-36816	0	0	0	1	1	0	1
specI-37372	0	0	0	2	0	1	1
specI-37372	0	0	0	2	0	1	1
specI-391038	0	0	0	1	1	0	1
specI-446470	0	0	0	1	1	1	1
specI-452637	0	0	0	0	1	0	1
specI-561230	0	0	0	1	1	0	1
specI-573413	0	0	0	1	1	0	1
specI-58116	0	0	0	1	0	0	1
specI-626418	0	0	0	1	1	0	1
specI-66429	0	0	0	1	0	1	1
specI-664693	0	0	0	1	0	0	1
specI-66888	0	0	0	1	1	0	1
specI-67281	0	0	0	1	0	0	1
specI-68223	0	0	0	1	1	0	1
specI-68253	0	0	0	1	1	1	1
specI-698761	0	0	0	1	0	0	1
specI-742733	0	0	0	0	1	0	1
specI-82996	0	0	0	1	1	0	1
specI-882085	0	0	0	0	1	0	1
specI-931276	0	0	0	1	1	0	1
specI-997346	0	0	0	1	0	0	1
specI-999541	0	0	0	1	1	0	1
TMED72	0	0	0	1	0	0	1
UBA1119	0	0	0	1	1	0	1
UBA1226	0	0	0	0	1	0	1
UBA2080	0	0	0	1	1	1	1
UBA2083	0	0	0	1	1	0	1
UBA2139	0	0	0	1	1	0	1
UBA2167	0	0	0	1	1	1	1
UBA2338	0	0	0	0	1	0	1
UBA2526	0	0	0	1	1	0	1
UBA2778	0	0	0	1	1	0	1
UBA2783	0	0	0	1	1	0	1
UBA2837	0	0	0	0	1	0	1
UBA2845	0	0	0	0	1	0	1
UBA2963	0	0	0	1	0	0	1
UBA3305	0	0	0	1	1	1	1
UBA3504	0	0	1	1	1	1	1
UBA3547	0	0	0	1	1	1	1
UBA3666	0	0	0	1	1	1	1
UBA3669	0	0	0	1	2	0	1
UBA4129	0	0	0	1	0	0	1
UBA4486	0	0	0	1	1	0	1
UBA4723	0	0	0	0	1	0	1
UBA6084	0	0	0	1	1	1	1
UBA6537	0	0	0	1	0	0	1
UBA667	0	0	0	1	0	0	1
UBA6686	0	0	0	1	1	0	1
UBA7162	0	0	0	0	1	0	1
UBA7359	0	0	0	1	1	0	1
UBA7503	0	0	0	0	1	0	1
UBA7887	0	0	0	1	0	0	1
UBA973	0	0	0	1	1	0	1
AAA795-I06	0	0	0	1	1	1	0
AG-319-F18	0	0	0	1	1	0	0
AG-325-E08	0	0	0	1	1	0	0
AG-345-F21	0	0	0	1	1	0	0
AG-345-O09	0	0	0	1	1	1	0
AG-347-I06	0	0	0	1	1	1	0
AG-347-I22	0	0	0	1	1	1	0
AG-363-B05	0	0	0	0	1	0	0
AG-363-C20	0	0	0	1	1	0	0
AG-365-D07	0	0	1	1	1	0	0
AG-390-C22	0	0	0	1	1	1	0
AG-402-K10	0	0	0	1	1	1	0
AG-409-M05	0	0	1	1	1	1	0
AG-410-D23	0	0	0	1	0	0	0
AG-418-O03	0	0	0	1	0	0	0
AG-418-P13	0	0	0	1	1	1	0
AG-422-C23	0	0	0	1	1	1	0
AG-426-G09	0	0	0	1	1	1	0
AG-430-I06	0	0	0	1	0	0	0
AG-430-L02	0	0	0	1	1	1	0
AG-436-C13	0	0	1	1	1	1	0
AG-436-D21	0	0	0	1	1	0	0
AG-447-N18	0	0	0	1	1	0	0
AG-469-F22	0	0	0	1	1	1	0
AG-670-B23	0	0	0	1	1	0	0
AG-670-L08	1	0	0	1	1	1	0
AG-670-O11	0	0	0	1	0	0	0
AG-676-A21	0	0	0	1	1	1	0
ARS1176	0	0	1	1	1	1	0
ARS1414	0	0	0	1	1	1	0
ARS1419	0	0	0	1	1	0	0
ARS1441	0	0	0	1	1	1	0
ARS17	0	0	0	1	1	1	0
ARS23	0	0	1	1	1	1	0
ARS3	0	0	0	1	0	0	0
ARS34	0	0	0	1	0	0	0
ARS95	0	0	0	1	1	1	0
ATCC19188	0	0	0	1	1	0	0
ATCC35185	0	0	0	1	1	0	0
ATCC43058	0	0	0	1	1	0	0
ATCC49890	0	0	0	1	1	0	0
ATCC51630	0	0	0	2	0	1	0
ATCC51630	0	0	0	2	0	1	0
ATCC51933	0	0	0	1	1	0	0
CMI55	0	0	0	1	0	0	0
CPC1232	0	0	0	1	1	0	0
CPC1365	0	0	0	1	1	0	0
CPC319	0	0	0	2	2	1	0
CPC319	0	0	0	2	2	1	0
CPC51	0	0	0	0	1	0	0
DSM10491	0	0	0	1	1	0	0
DSM11109	0	0	0	1	1	0	0
DSM12168	0	0	0	1	1	0	0
DSM14955	0	0	0	1	1	0	0
DSM15055	0	0	0	1	1	1	0
DSM16054	0	0	0	1	1	0	0
DSM16511	0	0	0	1	0	1	0
DSM17683	0	0	0	1	1	0	0
DSM17893	0	0	0	1	1	1	0
DSM19096	0	0	0	1	1	0	0
DSM19535	0	0	0	1	1	0	0
DSM19719	0	0	0	1	1	0	0
DSM19736	0	0	0	1	1	1	0
DSM20455	0	0	0	1	1	0	0
DSM20710	0	0	0	1	1	1	0
DSM21527	0	0	0	1	1	0	0
DSM21567	0	0	0	1	1	0	0
DSM21763	0	0	0	1	1	1	0
DSM23594	0	0	0	1	1	0	0
DSM25	0	0	0	1	1	0	0
DSM2950	0	0	0	0	1	0	0
DSM46235	0	0	0	1	1	0	0
DSM6644	0	0	0	1	0	1	0
DSM7084	0	0	0	1	1	0	0
DSM7299	0	0	0	1	1	1	0
DSM7488	0	0	0	1	0	0	0
EAC121	0	0	0	1	1	0	0
EAC1785	0	0	0	0	1	0	0
EAC1786	0	0	0	0	1	0	0
EAC654	0	0	0	0	1	0	0
HTCC7217	0	0	1	1	1	1	0
MED1153	0	0	0	1	1	0	0
MED605	1	0	0	2	2	2	0
MED605	1	0	0	2	2	2	0
MED641	0	0	0	1	1	0	0
MED656	0	0	0	1	1	0	0
MED743	0	0	0	1	1	0	0
MED784	1	0	0	2	2	2	0
MED784	1	0	0	2	2	2	0
MMP00713578	0	0	0	1	0	1	0
MMP02598295	0	0	0	1	0	0	0
MMP02598329	0	0	0	1	1	0	0
MMP02598510	0	0	0	1	1	0	0
MMP02598531	0	0	0	1	1	0	0
MMP02604303	0	0	0	1	0	0	0
MMP03009086	0	0	0	0	1	0	0
MMP04909702	0	0	0	1	0	0	0
MMP05282066	0	0	0	0	1	0	0
MMP06240846	0	0	0	1	1	1	0
NAT172	0	0	0	1	0	1	0
NAT182	0	0	0	1	1	1	0
NAT185	1	0	0	1	1	1	0
NAT198	0	0	0	1	1	0	0
NAT220	0	0	0	0	1	0	0
NAT221	0	0	0	1	0	0	0
NAT241	0	0	0	1	1	0	0
NAT267	0	0	2	3	0	2	0
NAT267	0	0	2	3	0	2	0
NAT267	0	0	2	3	0	2	0
NAT278	0	0	0	1	0	1	0
NAT441	0	0	1	1	0	1	0
NAT74	0	0	0	1	1	1	0
NP1051	0	0	0	1	1	0	0
NP1069	0	0	0	1	1	0	0
NP1106	0	0	0	1	1	0	0
NP1207	0	0	0	1	1	1	0
NP69	0	0	0	1	0	0	0
NP85	0	0	0	1	0	0	0
NP86	0	0	0	1	1	0	0
NP931	0	0	0	2	2	1	0
NP931	0	0	0	2	2	1	0
NP932	0	0	0	1	1	1	0
NP956	0	0	1	1	1	1	0
NP978	0	0	0	1	0	1	0
REDSEA-S03_B5	0	0	0	1	1	0	0
REDSEA-S12_B4	0	0	0	0	1	0	0
REDSEA-S28_B5	0	0	0	1	1	1	0
RS374	0	0	0	0	1	0	0
RS410	0	0	0	1	1	0	0
RS451	0	0	0	2	0	2	0
RS451	0	0	0	2	0	2	0
RS510	0	0	0	1	1	0	0
RS678	0	0	0	1	1	1	0
RS726	0	0	0	1	1	1	0
RS813	0	0	0	1	1	0	0
SAT124	0	0	0	1	1	0	0
SAT1446	0	0	0	1	1	0	0
SAT1489	0	0	2	1	0	1	0
SAT157	0	0	1	0	0	0	0
SAT201	0	0	0	1	1	0	0
SAT204	0	0	0	1	1	1	0
SAT207	0	0	1	2	0	2	0
SAT207	0	0	1	2	0	2	0
SAT2788	0	0	0	1	0	1	0
SAT45	0	0	0	1	1	1	0
SB	0	0	0	1	1	1	0
